,epoch,Total loss,IC loss,BC loss,f loss,Pr loss,Norm loss,Equi loss
0,23002,9.862957878798005e-07,1.687772312028295e-07,8.115605640200506e-09,7.990172283933294e-07,6.6913174281366e-05,0.0040878209871164,1.0385722643441228e-08
1,23003,94.93433135169596,3.079521105655118,45.89385733837727,45.95159946488705,0.0,0.3549256121096988,0.0093534427765389
2,23004,2.374886280469217e-06,1.7415263927988938e-07,9.534046865448161e-09,2.1807612091084564e-06,6.628914520550588e-05,0.0040863243944545,1.0438385215423093e-08
3,23005,9.8629558267228e-07,1.687771348884917e-07,8.116071767104588e-09,7.990166563254435e-07,6.691292153576733e-05,0.0040878204120117,1.0385719691240124e-08
4,23006,9.862955435507737e-07,1.6877707129109785e-07,8.116426569985366e-09,7.990163273974009e-07,6.691270782426417e-05,0.0040878214463035,1.03857182922894e-08
5,23007,9.862954041673983e-07,1.6877681698303645e-07,8.117846079632711e-09,7.990150283997749e-07,6.691185297838321e-05,0.0040878255834675,1.0385712704954692e-08
6,23008,9.86294867701282e-07,1.6877461256534293e-07,8.130416453083515e-09,7.990041725998185e-07,6.69042287009709e-05,0.004087841615624,1.0385666083036993e-08
7,23009,9.86294688132954e-07,1.6877361479064337e-07,8.136728545319348e-09,7.989986881743651e-07,6.690020208087078e-05,0.0040878253663361,1.0385656622626253e-08
8,23010,9.862943278419783e-07,1.687710414256405e-07,8.152854618366795e-09,7.989847863303834e-07,6.688871927209727e-05,0.0040877816943697,1.0385645467587964e-08
9,23011,9.862940504940625e-07,1.6876990599116494e-07,8.159164545733408e-09,7.989792817862557e-07,6.687985858082867e-05,0.0040877741201807,1.0385698170908348e-08
10,23012,9.862938470653073e-07,1.687701033582913e-07,8.157139942125067e-09,7.989808740334417e-07,6.687861935577455e-05,0.0040877655158664,1.0385729731449254e-08
11,23013,9.862937188196165e-07,1.6877098289498296e-07,8.150350766402472e-09,7.989866288607492e-07,6.688081014974545e-05,0.0040877739066271,1.0385756297481513e-08
12,23014,9.862935351218386e-07,1.687717248492937e-07,8.143035367827659e-09,7.98993018525865e-07,6.688377283357084e-05,0.0040877935377423,1.0385756378852422e-08
13,23015,9.862930542887453e-07,1.68771544786165e-07,8.135817323181438e-09,7.990000296218854e-07,6.688826824226724e-05,0.0040878565105342,1.038566255751348e-08
14,23016,9.86292410421607e-07,1.687693556951821e-07,8.138755755817695e-09,7.989988228987587e-07,6.689018535463098e-05,0.0040879388542187,1.0385476071848472e-08
15,23017,9.862921778535232e-07,1.687676222196216e-07,8.137364099201993e-09,7.990019571046674e-07,6.689390212853585e-05,0.0040880388164413,1.0385234430032278e-08
16,23018,9.862915747291123e-07,1.6876616206632757e-07,8.147291846742991e-09,7.989929152404573e-07,6.68916964121764e-05,0.0040880481048118,1.0385205575584491e-08
17,23019,9.862912921861744e-07,1.6876559658850746e-07,8.153654495931307e-09,7.989868308383048e-07,6.688961052380105e-05,0.0040880394948699,1.0385210263430904e-08
18,23020,9.86290878819268e-07,1.6876548755130768e-07,8.158769154347781e-09,7.989813881530445e-07,6.688780275672368e-05,0.0040880304397362,1.038523396056802e-08
19,23021,9.862903174635071e-07,1.6876660614824833e-07,8.155653535264753e-09,7.989827634127165e-07,6.688881398594271e-05,0.0040880328978522,1.0385294367277749e-08
20,23022,9.862890311433083e-07,1.6876725453074877e-07,8.163060746716161e-09,7.989732723020347e-07,6.68842001050114e-05,0.0040880178925679,1.0385443563808712e-08
21,23023,9.862880609454657e-07,1.687703720825111e-07,8.151090455339004e-09,7.989809297421723e-07,6.688371244554648e-05,0.0040879845720749,1.0385668665443253e-08
22,23024,9.86287529174081e-07,1.687710943507966e-07,8.148088335846846e-09,7.989826122569141e-07,6.68812990487051e-05,0.0040879853251591,1.0385734230523118e-08
23,23025,9.862870566723257e-07,1.687709980526924e-07,8.14961267806052e-09,7.989806818415715e-07,6.687570051773818e-05,0.0040879640593813,1.0385764100001349e-08
24,23026,9.862863615791678e-07,1.687697273029296e-07,8.158647200736722e-09,7.989722298620988e-07,6.686487733687519e-05,0.0040879340853026,1.0385757213402814e-08
25,23027,9.86285084079783e-07,1.6876710322787857e-07,8.178044364464676e-09,7.989542860535775e-07,6.684703034469841e-05,0.004087913970882,1.038565043386226e-08
26,23028,9.86282987169734e-07,1.6876418135629965e-07,8.195737311833353e-09,7.989377883156083e-07,6.683488299874219e-05,0.0040880316922198,1.0385280185992571e-08
27,23029,9.862786369768545e-07,1.687612471639409e-07,8.222849395860365e-09,7.989098948338818e-07,6.68182764620302e-05,0.0040881482142131,1.0384645583171252e-08
28,23030,9.862731074767448e-07,1.687580661336298e-07,8.243253716350818e-09,7.98888043448652e-07,6.681173486323378e-05,0.0040884891193773,1.0383744178112244e-08
29,23031,9.86266327681992e-07,1.6875759568144398e-07,8.250155206548087e-09,7.988751370471622e-07,6.681388195762783e-05,0.0040886169112822,1.0383439746837951e-08
30,23032,9.862580526924552e-07,1.6875940873982177e-07,8.226245686978327e-09,7.988889199056473e-07,6.683666427255663e-05,0.0040886636240428,1.0383478360007682e-08
